dnb_global_duns,label_duns
815553741,693460169
042000273,800772139
276276904,844230529
480667059,080120056
006173082,830016148
071695183,087608338
068475391,068475391
237905661,080524579
600029649,152356536
153880778,153880778
831360578,081257635
144494077,845530252
004189696,004189696
093807147,791037997
690694773,467833930
690549464,706298080
317938488,189632420
078446543,078446543
049179401,117455424
117130043,079251676
248761249,202733655
650172430,600072078
464246750,121076871
080107809,116588431
429280662,338689703
396870623,121406151
005213954,005213954
222652615,623804809
650172430,643611692
650082092,080970298
001307081,054654917
480992718,068095710
223039133,809572381
964756659,964756659
006471700,114276769
078737204,078737204
480739627,025082681
650082092,829084461
650425929,079922908
008120750,008120750
024744476,065386906
024187130,829672323
110376014,080311734
828237789,237676320
030530356,030530356
072051394,787455724
001211952,001211952
080988180,111656092
946459583,036110281
001326495,001147495
002348191,825194587
544057057,481761344
118688717,147968817
711202270,551338593
861422434,121205355
650172430,862358806
834436875,834436875
073988792,073988792
400870870,069777290
832232941,832232941
386367825,012886342
617527713,114222776
075776468,075776468
828467584,957704737
097279020,097279020
217220950,460940868
828237789,116950534
245141858,253292734
654612027,137351628
005869581,048162061
143213275,143213275
071549000,556672517
001292192,044611812
185049848,117531006
001408673,134654651
196147078,196147078
485609796,080282985
948185459,076101906
007913213,080024340
238980408,079251605
001527241,084259696
084508308,084508308
001408673,080292430
531879856,613175327
007072176,007072176
826061566,826061566
005593490,071586602
404248536,622405298
096997515,096997515
432735897,429034275
508619434,450630343
316092519,023658151
824700850,081512382
080869484,080046430
001338912,931054928
690535307,790571272
969085518,969085518
147979082,147979082
069550929,078348324
058960691,058960691
080370983,071544581
071549000,071973971
071549000,079941723
024744476,078596854
080221335,080221335
001408673,118793157
074909540,074909540
030661425,030661425
988632220,149054731
147830830,181194176
837547074,837547074
968374814,968374814
480708874,609102017
110999054,110999054
985596906,968372008
090540258,081212992
025551109,176143071
037529948,037529948
061214697,061214697
963453647,068677160
006908354,118486661
005061273,078286225
690538913,002057626
001307081,002560233
001765866,009942434
067057521,067057521
034074860,034074860
001024314,012376732
260062804,967333261
230790719,121151307
007173453,007173453
806619029,806619029
139456938,007049125
088805734,088805734
096997515,014550409
783182475,783182475
147349570,800341237
185731825,148978336
069687242,069687242
131674371,131674371
418670030,071628556
808064724,002070100
001307081,080474118
001211952,094670726
059196873,059196873
223872762,543127229
001326495,130335917
834569816,876331075
096372255,825372873
690538228,313270015
110376014,080381053
828237789,015966157
046430013,147212963
315000554,788535396
105300446,059742972
753243823,080102141
650330632,725927649
260660755,967987475
829859425,829859425
121816615,802881524
001963263,838171817
130884695,961666257
808898381,808898381
210272498,125458849
862179079,918608162
805518805,805518805
079424244,079424244
005269923,023589000
188396415,879168839
074172719,105690635
809603983,809603983
878487631,878487631
880214036,927788133
260360424,014058469
429280662,360251875
480708874,965684199
073133571,078376794
042006515,093788651
967965468,967965468
985565651,081216575
122012529,068647668
798861741,798861741
858480932,079139572
112358432,084018134
129344490,187761846
069851913,069851913
114337629,067373803
062649876,962661471
783425254,783425254
371013131,658828103
825080096,079460895
041294109,003117352
806256132,032283710
429762829,428954135
067472530,067472530
020354718,020354718
008115099,091371450
044051517,044051517
079633626,055115059
080532610,117102088
071414032,071414032
499278760,565567026
003027539,080019257
539763727,539763727
001963263,115050242
080997320,080997320
081017660,015206024
827900809,081336131
004146619,617875034
001425594,001425594
121988745,149851938
084963177,042727893
046246699,046246699
139691877,059648110
690573662,090691122
001338912,079870310
104017827,104017827
071695183,081159042
062962885,062962885
118303883,157990263
264319908,483148768
081222237,071310106
815553181,038510426
058685439,004423146
044137966,044137966
001408673,792954240
118220614,117014215
867704355,867704355
177915753,080836897
370009086,130868656
787026855,787026855
062761671,017469235
001292192,605440718
108597212,108597212
480693886,607592920
096413786,134632103
080532610,809162964
046862181,878648294
429762829,438538098
831415695,831415695
062649876,101196749
101419348,101419348
023101397,830479239
274603604,829166276
315034629,315097875
178744632,058650102
080586975,080830332
080988180,361513570
962106329,080230346
790976778,790976778
076593722,076593722
650452522,650452522
009692679,009692679
656177213,018153512
966838604,966838604
275273795,275273795
041188822,152733747
830917089,081311647
006249189,021478220
161906193,071609291
753970933,867220261
003137015,011028060
809557593,809557593
260062804,610004764
085091726,941651036
071549000,161938233
072475312,961615700
066545708,088863609
414894498,565497717
220695486,194568978
054554290,120930081
342249299,132219952
062644609,054989583
210272498,077273900
005373089,196548481
003027539,796567535
001307586,004095238
825080096,080737295
714383650,198413080
051334402,051334402
650194103,650446276
081373036,080758333
808184845,005203476
081067651,099889203
063575799,063575799
057795122,968335112
161906193,030075103
069550929,069550929
783975480,783975480
282560473,014892269
080789078,004234787
074524513,077847952
194388708,194388708
001211952,088222757
002604817,002175193
197212954,084063569
006104525,006104525
490053503,154235027
064754757,018351895
690538228,695132274
006944334,062088935
