,item_skey,item_number,item_description,item_category
0,75675,1268769,Etodolac Related Compound H,Impurity
1,3992,1086334,Calcium Acetate (500 mg),Active Pharmaceutical Ingredients
2,37396,1044298,"Atenolol Related Compound E (25 mg) (2,2'-{[(2-Hydroxypropane-1,3-diyl)bis(oxy)]bis(4,1-phenylene)}diacetamide)",Impurity
3,38627,1044276,Atenolol Related Compound C (25 mg) (2-[4-(Oxiran-2-ylmethoxy)phenyl]acetamide),Impurity
4,14353,1500207,"Paroxetine Related Compound E (50 mg) (4-(4-Fluorophenyl)-1-methyl-1,2,3,6-tetrahydropyridine hydrochloride)",Impurity
5,8526,1464001,Nitrofurantoin (500 mg),Active Pharmaceutical Ingredients
6,11184,1465503,Nitrofurfural Diacetate (100 mg),Impurity
7,8486,1483505,Oxprenolol Hydrochloride (200 mg),Active Pharmaceutical Ingredients
8,10242,1441243,Metoprolol Related Compound B (100 mg) ((+/-)1-Chloro-2-hydroxy-3-[4-(2-methoxyethyl)phenoxy]-propane),Impurity
9,4825,1285910,Fluticasone Propionate Nasal Spray Resolution Mixture (25 mg),System Suitability
10,10965,1631001,Sulfamethoxazole (200 mg),Active Pharmaceutical Ingredients
11,9166,1396331,Metformin Related Compound B (25 mg) (1-Methylbiguanide hydrochloride),Impurity
12,14158,1379183,"Melamine (250 mg) (2,4,6-Triamino-1,3,5-triazine)",Impurity
13,31893,1356723,Labetalol Related Compound F (15 mg) (2-Hydroxy-5-[(4-phenylbutan-2-yl)glycyl]benzamide hydrochloride),Impurity
14,6761,1133547,Choline Chloride (500 mg),Dietary Supplements
15,14415,1045600,Azaerythromycin A (100 mg) (9-Deoxo-9a-aza-9a-homoerythromycin A),Impurity
16,6749,1090706,Capecitabine (200 mg),Active Pharmaceutical Ingredients
17,9497,1445404,Modafinil CIV (200 mg),Active Pharmaceutical Ingredients
18,7558,1271733,"Fluconazole Related Compound C (10 mg) (1,1'-(1,3-phenylene)di(1H-1,2,4-triazole))",Impurity
19,10634,1595509,Quinidine Sulfate (500 mg),Active Pharmaceutical Ingredients
20,10636,1597504,Quininone (50 mg),Impurity
21,6525,1341001,Indomethacin (200 mg),Active Pharmaceutical Ingredients
22,15751,1457414,Naproxen Related Compound K (50 mg) (1-(6-Methoxynaphthalen-2-yl)ethanol),Impurity
23,16127,1457436,Naproxen Related Compound G (50 mg) ((R)-2-(6-Methoxynaphthalen-2-yl)propanoic acid),Impurity
24,70494,1149999,"Cortisone (20 mg) (17, 21-Dihydroxypregna-4-ene-3,11,20-trione)",Active Pharmaceutical Ingredients
25,10748,1173508,Desoximetasone (200 mg),Active Pharmaceutical Ingredients
26,12656,1478367,Olmesartan Medoxomil (100 mg),Active Pharmaceutical Ingredients
27,39371,1078642,"Buspirone Related Compound K (50 mg) (8-azaspiro[4.5]decane-7,9-dione)",Impurity
28,97836,1078540,Buspirone Diester Dimer,Impurity
29,6299,1278007,Fluorometholone (200 mg),Active Pharmaceutical Ingredients
30,16310,1612528,"Sertraline Hydrochloride Related Compound A (25 mg) ((1RS,4SR)-4-(3,4-Dichlorophenyl)-N-methyl-1,2,3,4-tetrahydro-1-naphthylamine hydrochloride)",Impurity
31,10755,1055002,Benzoic Acid (300 mg),Active Pharmaceutical Ingredients
32,5785,1711268,Venlafaxine Hydrochloride (100 mg),Active Pharmaceutical Ingredients
33,14473,1172006,Desipramine Hydrochloride (125 mg),Active Pharmaceutical Ingredients
34,6520,1369000,Lithium Carbonate (300 mg),Active Pharmaceutical Ingredients
35,6692,1078755,Bupropion Hydrochloride Related Compound B (10 mg) (2-(tert-butylamino)-3'-bromopropiophenone hydrochloride),Impurity
36,6690,1078733,Bupropion Hydrochloride (200 mg),Active Pharmaceutical Ingredients
